num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
2,0,True,88.96666666666667,59.6154397007445,29.80771985037225,0.0,0.0,2.1125000000000003,0,0,246,2.0,0,3.125,N2_NoFault,Scalability,0
2,0,False,1666.6666666666667,633.1151087024781,316.55755435123905,0.07377049180327869,299.6791666666667,2.3431746031746035,7,0,3942,2.0,0,95.3125,N2_NoFault,Scalability,1
2,0,True,732.6166666666667,377.5069275873737,188.75346379368685,0.013513513513513514,0.0,2.3025641025641033,0,0,3256,2.0,0,57.8125,N2_NoFault,Scalability,2
2,0,True,353.53333333333336,186.75769629256496,93.37884814628248,0.0,0.0,2.197777777777778,0,0,1744,2.0,0,25.0,N2_NoFault,Scalability,3
2,0,True,1095.3333333333333,556.3314904336565,278.16574521682827,0.008771929824561403,0.0,2.3103389830508476,0,0,3876,2.0,0,89.0625,N2_NoFault,Scalability,4
2,0,True,441.75,230.52333538993557,115.26166769496778,0.023809523809523808,0.0,2.279130434782609,0,0,2184,2.0,0,32.8125,N2_NoFault,Scalability,5
2,0,True,927.05,465.45702253373156,232.72851126686578,0.010638297872340425,0.0,2.3267346938775515,0,0,3668,2.0,0,73.4375,N2_NoFault,Scalability,6
2,0,True,1170.6666666666667,591.3166790395635,295.65833951978175,0.00819672131147541,0.0,2.3196774193548384,0,0,3906,2.0,0,95.3125,N2_NoFault,Scalability,7
2,0,False,588.1666666666666,305.01437983091057,152.50718991545529,0.0,0.0,2.3371874999999998,0,2,2986,2.0,0,46.875,N2_NoFault,Scalability,8
2,0,True,350.06666666666666,186.2165097536818,93.1082548768409,0.0,0.0,2.2844444444444445,0,0,1744,2.0,0,25.0,N2_NoFault,Scalability,9
2,0,True,589.9166666666666,301.0219384239475,150.51096921197376,0.0,0.0,2.2778125000000005,0,0,2850,2.0,0,46.875,N2_NoFault,Scalability,10
2,0,True,368.9,192.93495883885325,96.46747941942662,0.0,0.0,2.27,0,0,1926,2.0,0,28.125,N2_NoFault,Scalability,11
2,0,True,79.43333333333334,48.94511794774407,24.472558973872037,0.5,0.0,2.0733333333333337,0,0,124,2.0,0,1.5625,N2_NoFault,Scalability,12
2,0,True,887.9,453.6100560558534,226.8050280279267,0.0,0.0,2.328125,0,0,3634,2.0,0,71.875,N2_NoFault,Scalability,13
2,0,True,338.85,178.0505257725169,89.02526288625845,0.0,0.0,2.2016666666666667,0,0,1744,2.0,0,25.0,N2_NoFault,Scalability,14
